,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win_target,3_win_target,5_win_target,7_win_target,10_win_target
1078,SAC,50,19,45,42.2,6,14,42.9,6,6,100.0,4,17,21,13,5,5,4,11,4,True,False,False,False,False
1079,WAS,52,20,48,41.7,5,18,27.8,7,9,77.8,4,17,21,12,6,4,2,8,-9,False,False,False,False,False
1080,BKN,35,14,44,31.8,3,14,21.4,4,7,57.1,1,19,20,8,4,1,3,8,-24,False,False,False,False,False
1081,BOS,57,20,49,40.8,6,23,26.1,11,14,78.6,8,24,32,12,8,5,4,12,15,True,True,True,True,True
1082,CHA,56,19,39,48.7,9,20,45.0,9,12,75.0,3,15,18,16,12,1,4,9,-4,False,False,False,False,False
1083,CHI,56,24,47,51.1,7,13,53.8,1,1,100.0,4,17,21,17,10,4,2,7,-4,False,False,False,False,False
1084,CLE,51,18,36,50.0,9,15,60.0,6,13,46.2,6,16,22,12,12,0,1,10,-13,False,False,False,False,False
1085,DAL,59,21,42,50.0,10,22,45.5,7,9,77.8,4,18,22,15,7,1,1,9,10,True,True,True,False,False
1086,HOU,64,21,48,43.8,9,23,39.1,13,15,86.7,7,24,31,9,7,4,5,9,14,True,True,True,True,True
1087,IND,59,22,54,40.7,9,19,47.4,6,7,85.7,10,28,38,14,4,3,6,9,24,True,True,True,True,True
1088,LAC,42,18,44,40.9,2,18,11.1,4,5,80.0,5,21,26,10,9,3,3,12,-5,True,False,False,False,False
1089,MIL,60,22,43,51.2,11,25,44.0,5,9,55.6,4,17,21,14,8,8,4,3,4,True,True,True,True,True
1090,MIN,59,24,53,45.3,7,20,35.0,4,5,80.0,4,21,25,12,5,4,4,11,3,True,True,True,True,False
1091,NYK,64,25,56,44.6,6,13,46.2,8,12,66.7,14,12,26,11,3,5,6,9,13,True,True,True,True,True
1092,OKC,47,16,41,39.0,2,12,16.7,13,16,81.3,3,17,20,9,5,8,1,8,5,False,False,False,False,False
1093,PHX,42,16,42,38.1,4,17,23.5,6,8,75.0,2,20,22,10,8,2,2,12,-15,False,False,False,False,False
1094,POR,50,19,47,40.4,5,18,27.8,7,9,77.8,4,18,22,15,7,3,3,13,-14,False,False,False,False,False
1095,SAS,49,20,46,43.5,3,10,30.0,6,7,85.7,7,14,21,8,5,3,1,9,-10,False,False,False,False,False
1096,TOR,60,24,50,48.0,5,21,23.8,7,8,87.5,8,17,25,19,6,7,2,12,4,True,True,True,True,True
1097,UTA,56,19,43,44.2,8,15,53.3,10,13,76.9,4,23,27,10,10,2,1,10,-3,False,False,False,False,False
1098,GSW,61,24,47,51.1,4,17,23.5,9,10,90.0,7,21,28,19,7,3,7,12,15,True,True,True,True,True
1099,LAL,63,24,43,55.8,8,15,53.3,7,10,70.0,4,16,20,17,9,7,3,9,10,True,True,False,False,False
1100,MEM,46,17,47,36.2,4,11,36.4,8,10,80.0,5,13,18,12,6,2,1,11,-15,False,False,False,False,False
1101,NOP,53,18,46,39.1,6,17,35.3,11,13,84.6,8,19,27,10,8,4,3,10,-1,True,True,True,True,True
1102,OKC,53,20,44,45.5,4,15,26.7,9,12,75.0,7,14,21,10,11,5,1,11,-10,False,False,False,False,False
