,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Team1,Team2,win_target,3_win_target,5_win_target,7_win_target,10_win_target
591,CHI,108,42,83,50.6,11,35,31.4,13,14,92.9,9,29,38,24,15,11,6,21,CHI,DET,True,True,True,True,False
592,DAL,109,40,79,50.6,11,27,40.7,18,27,66.7,11,43,54,22,16,4,8,20,DAL,PHI,True,True,True,True,True
593,DAL,114,39,96,40.6,11,38,28.9,25,37,67.6,17,30,47,19,9,4,3,20,DAL,LAL,False,False,False,False,False
594,LAC,109,41,84,48.8,11,39,28.2,16,22,72.7,9,45,54,27,19,5,7,24,LAC,GSW,True,True,True,True,False
595,IND,116,48,84,57.1,11,30,36.7,9,14,64.3,8,38,46,31,14,9,5,16,IND,CHI,True,True,True,True,True
596,HOU,92,34,89,38.2,11,40,27.5,13,14,92.9,8,31,39,16,14,4,3,21,HOU,OKC,False,False,False,False,False
597,PHI,109,43,88,48.9,11,27,40.7,12,17,70.6,13,35,48,24,13,6,5,11,PHI,BOS,True,True,True,True,True
598,OKC,113,43,87,49.4,11,32,34.4,16,20,80.0,9,43,52,22,13,8,2,13,OKC,HOU,True,True,True,True,True
599,POR,102,35,96,36.5,11,37,29.7,21,31,67.7,14,27,41,14,12,9,6,21,POR,MIN,False,False,False,False,False
600,PHX,103,37,77,48.1,11,35,31.4,18,22,81.8,6,35,41,24,19,4,2,25,PHX,SAC,False,False,False,False,False
601,OKC,111,38,92,41.3,11,37,29.7,24,29,82.8,8,43,51,19,17,11,3,15,OKC,BKN,True,True,True,True,False
602,BKN,103,40,98,40.8,11,37,29.7,12,16,75.0,11,41,52,19,17,5,5,25,BKN,OKC,False,False,False,False,False
603,DET,99,29,78,37.2,11,26,42.3,30,35,85.7,6,37,43,21,16,8,6,22,DET,LAL,False,False,False,False,False
604,ORL,96,38,85,44.7,11,37,29.7,9,12,75.0,9,37,46,21,10,6,5,12,ORL,UTA,False,False,False,False,False
605,GSW,104,33,82,40.2,11,21,52.4,27,32,84.4,11,31,42,26,14,13,3,19,GSW,DET,False,False,False,False,False
606,CHA,123,42,85,49.4,11,25,44.0,28,31,90.3,16,37,53,27,18,5,5,22,CHA,DAL,True,False,False,False,False
607,SAS,118,38,92,41.3,11,32,34.4,31,34,91.2,11,39,50,20,8,7,0,20,SAS,MIL,False,False,False,False,False
608,DET,111,43,83,51.8,11,27,40.7,14,16,87.5,9,37,46,24,21,13,5,25,DET,GSW,True,True,True,False,False
609,WAS,103,38,90,42.2,11,33,33.3,16,25,64.0,14,27,41,19,13,5,4,28,WAS,POR,False,False,False,False,False
610,NOP,113,48,102,47.1,11,37,29.7,6,7,85.7,9,31,40,24,12,4,10,20,NOP,LAL,False,False,False,False,False
611,LAC,126,50,92,54.3,11,28,39.3,15,21,71.4,11,40,51,29,15,6,11,22,LAC,DET,True,True,True,True,True
612,UTA,102,37,76,48.7,11,30,36.7,17,22,77.3,7,35,42,24,17,5,6,17,UTA,CHI,True,True,False,False,False
613,CHI,98,37,94,39.4,11,36,30.6,13,17,76.5,15,30,45,22,11,8,5,15,CHI,UTA,False,False,False,False,False
614,IND,115,42,86,48.8,11,25,44.0,20,26,76.9,5,33,38,35,6,3,6,16,IND,PHI,True,True,True,True,True
615,MIL,123,46,84,54.8,11,32,34.4,20,24,83.3,10,49,59,29,18,6,9,17,MIL,CHI,True,True,True,True,True
616,LAL,128,47,91,51.6,11,32,34.4,23,28,82.1,11,33,44,32,11,6,7,25,LAL,POR,True,True,True,True,False
617,BKN,98,37,92,40.2,11,39,28.2,13,21,61.9,9,38,47,24,15,7,5,15,BKN,HOU,False,False,False,False,False
618,NYK,107,38,85,44.7,11,31,35.5,20,26,76.9,11,45,56,25,22,5,5,25,NYK,WAS,True,True,True,False,False
619,MIL,112,46,91,50.5,11,28,39.3,9,13,69.2,6,50,56,29,18,9,8,13,MIL,ATL,True,True,True,True,True
620,TOR,115,43,94,45.7,11,40,27.5,18,24,75.0,12,38,50,30,16,6,8,22,TOR,IND,False,False,False,False,False
621,CLE,121,50,96,52.1,11,29,37.9,10,12,83.3,7,36,43,19,23,8,6,16,CLE,ATL,True,False,False,False,False
622,MIN,104,35,87,40.2,11,34,32.4,23,29,79.3,9,31,40,16,16,10,7,18,MIN,GSW,False,False,False,False,False
623,DEN,128,45,92,48.9,11,32,34.4,27,30,90.0,17,27,44,31,10,13,2,19,DEN,LAL,True,True,True,True,True
624,LAC,112,40,86,46.5,11,27,40.7,21,24,87.5,10,32,42,22,17,7,2,23,LAC,OKC,False,False,False,False,False
625,BKN,122,46,100,46.0,11,30,36.7,19,28,67.9,12,49,61,23,16,8,4,18,BKN,ATL,True,True,True,True,False
