,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
991,BOS,BOS @ IND,12/11/2019,,L,24,60,21,39,53.8,6,18,33.3,12,15,80.0,3,18,21,9,9,2,2,12,-1
992,LAL,LAL @ ORL,12/11/2019,,W,24,45,17,39,43.6,6,17,35.3,5,10,50.0,3,15,18,10,4,4,2,9,-4
993,PHX,PHX vs. MEM,12/11/2019,,L,24,57,19,43,44.2,5,14,35.7,14,19,73.7,3,16,19,15,6,4,3,13,-7
994,CHA,CHA @ BKN,12/11/2019,,W,24,60,18,40,45.0,8,18,44.4,16,19,84.2,5,19,24,8,2,0,2,10,16
995,MIN,MIN vs. UTA,12/11/2019,,L,24,57,19,46,41.3,6,15,40.0,13,17,76.5,12,13,25,9,7,4,2,12,-11
996,UTA,UTA @ MIN,12/11/2019,,W,24,68,24,42,57.1,10,21,47.6,10,13,76.9,6,16,22,15,7,2,5,13,11
997,TOR,TOR vs. LAC,12/11/2019,,L,24,46,15,44,34.1,4,17,23.5,12,13,92.3,6,17,23,12,7,5,6,15,-2
998,GSW,GSW vs. NYK,12/11/2019,,L,24,62,24,41,58.5,4,14,28.6,10,15,66.7,2,15,17,15,5,6,1,9,18
999,MEM,MEM @ PHX,12/11/2019,,W,24,64,22,41,53.7,4,8,50.0,16,19,84.2,3,23,26,11,7,4,4,17,7
1000,ATL,ATL @ MIA,12/10/2019,,L,24,53,21,41,51.2,7,23,30.4,4,9,44.4,2,15,17,13,4,1,3,10,2
1001,CHA,CHA vs. WAS,12/10/2019,,W,24,61,19,44,43.2,9,22,40.9,14,16,87.5,6,19,25,10,6,4,1,15,2
1002,NYK,NYK @ POR,12/10/2019,,L,24,46,16,44,36.4,5,23,21.7,9,16,56.3,4,19,23,8,4,1,3,7,-9
1003,MIA,MIA vs. ATL,12/10/2019,,W,24,51,19,42,45.2,4,14,28.6,9,13,69.2,4,20,24,10,6,0,1,8,-2
1004,POR,POR vs. NYK,12/10/2019,,W,24,55,20,45,44.4,8,17,47.1,7,9,77.8,4,24,28,14,4,2,1,13,9
1005,PHI,PHI vs. DEN,12/10/2019,,W,24,42,17,44,38.6,5,18,27.8,3,7,42.9,7,15,22,9,7,5,1,5,0
1006,WAS,WAS @ CHA,12/10/2019,,L,24,59,20,50,40.0,8,22,36.4,11,12,91.7,10,17,27,15,5,3,5,13,-2
1007,DEN,DEN @ PHI,12/10/2019,,L,24,42,18,38,47.4,2,11,18.2,4,5,80.0,2,16,18,13,7,4,3,7,0
1008,LAC,LAC @ IND,12/09/2019,,W,24,50,20,48,41.7,5,14,35.7,5,7,71.4,4,18,22,12,2,3,4,8,-1
1009,MEM,MEM @ GSW,12/09/2019,,W,24,56,23,39,59.0,5,16,31.3,5,8,62.5,1,20,21,12,11,6,1,10,1
1010,GSW,GSW vs. MEM,12/09/2019,,L,24,55,20,47,42.6,5,15,33.3,10,11,90.9,6,13,19,12,6,5,3,11,-1
1011,MIL,MIL vs. ORL,12/09/2019,,W,24,58,23,40,57.5,8,17,47.1,4,7,57.1,2,19,21,16,8,2,2,11,-3
1012,CHI,CHI vs. TOR,12/09/2019,,L,24,41,16,42,38.1,6,19,31.6,3,4,75.0,4,16,20,14,12,3,4,14,-3
1013,SAC,SAC @ HOU,12/09/2019,,W,24,60,19,46,41.3,10,23,43.5,12,13,92.3,7,11,18,7,4,9,0,9,6
