,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
936,NYK,NYK vs. ATL,12/17/2019,,W,48,143,53,95,55.8,13,28,46.4,24,31,77.4,13,42,55,30,12,7,6,21,23
937,CHA,CHA vs. SAC,12/17/2019,,W,48,110,39,81,48.1,13,30,43.3,19,27,70.4,16,35,51,26,19,5,8,18,8
938,DET,DET vs. WAS,12/16/2019,,L,48,119,41,86,47.7,13,39,33.3,24,34,70.6,12,24,36,29,14,6,4,19,-14
939,MEM,MEM vs. MIA,12/16/2019,,W,48,118,42,86,48.8,13,36,36.1,21,30,70.0,16,29,45,28,17,4,6,20,7
940,HOU,HOU vs. DET,12/14/2019,,L,48,107,41,102,40.2,13,45,28.9,12,18,66.7,11,35,46,18,11,9,8,19,-8
941,CLE,CLE vs. HOU,12/11/2019,,L,48,110,46,89,51.7,13,32,40.6,5,8,62.5,9,27,36,29,17,8,4,15,-6
942,ATL,ATL @ CHI,12/11/2019,,L,48,102,35,83,42.2,13,38,34.2,19,26,73.1,10,31,41,26,23,7,5,20,-34
943,OKC,OKC @ SAC,12/11/2019,,L,48,93,34,79,43.0,13,33,39.4,12,18,66.7,7,36,43,24,18,8,8,16,-1
944,SAC,SAC @ DAL,12/08/2019,,W,48,110,44,85,51.8,13,34,38.2,9,11,81.8,7,28,35,24,11,7,1,16,4
945,CHI,CHI @ MIA,12/08/2019,,L,53,105,35,80,43.8,13,36,36.1,22,27,81.5,6,33,39,20,15,8,1,31,-5
946,DAL,DAL vs. NOP,12/07/2019,,W,48,130,46,86,53.5,13,38,34.2,25,31,80.6,8,47,55,25,13,8,4,17,46
947,BOS,BOS vs. DEN,12/06/2019,,W,48,108,44,82,53.7,13,35,37.1,7,8,87.5,4,33,37,21,16,5,5,23,13
948,MIN,MIN @ OKC,12/06/2019,,L,53,127,50,96,52.1,13,38,34.2,14,20,70.0,10,26,36,25,13,8,2,29,-12
949,PHI,PHI @ WAS,12/05/2019,,L,48,113,41,77,53.2,13,28,46.4,18,24,75.0,8,36,44,25,21,7,6,24,-6
950,CHI,CHI vs. MEM,12/04/2019,,W,48,106,33,77,42.9,13,33,39.4,27,37,73.0,10,40,50,22,21,5,13,22,7
951,SAS,SAS vs. HOU,12/03/2019,,W,58,135,50,106,47.2,13,30,43.3,22,32,68.8,12,44,56,35,21,10,8,27,2
952,PHI,PHI vs. UTA,12/02/2019,,W,48,103,37,91,40.7,13,26,50.0,16,23,69.6,8,39,47,24,15,12,3,22,9
953,UTA,UTA @ TOR,12/01/2019,,L,48,110,38,90,42.2,13,35,37.1,21,29,72.4,15,36,51,21,18,5,3,17,-20
