,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
1330,BKN,BKN vs. IND,11/18/2019,,L,24,35,14,44,31.8,3,14,21.4,4,7,57.1,1,19,20,8,4,1,3,8,-24
1331,CLE,CLE @ NYK,11/18/2019,,L,24,51,18,36,50.0,9,15,60.0,6,13,46.2,6,16,22,12,12,0,1,10,-13
1332,IND,IND @ BKN,11/18/2019,,W,24,59,22,54,40.7,9,19,47.4,6,7,85.7,10,28,38,14,4,3,6,9,24
1333,DAL,DAL vs. SAS,11/18/2019,,W,24,59,21,42,50.0,10,22,45.5,7,9,77.8,4,18,22,15,7,1,1,9,10
1334,ORL,ORL vs. WAS,11/17/2019,,W,24,61,22,46,47.8,8,21,38.1,9,10,90.0,4,23,27,14,7,3,3,8,9
1335,CLE,CLE vs. PHI,11/17/2019,,L,24,44,16,41,39.0,3,11,27.3,9,10,90.0,5,13,18,5,9,4,3,11,-24
1336,PHI,PHI @ CLE,11/17/2019,,W,24,68,28,41,68.3,6,11,54.5,6,8,75.0,1,19,20,20,5,4,4,8,24
1337,NOP,NOP vs. GSW,11/17/2019,,W,24,55,20,51,39.2,12,29,41.4,3,4,75.0,8,19,27,14,7,2,2,12,6
1338,SAC,SAC vs. BOS,11/17/2019,,W,24,50,19,45,42.2,6,14,42.9,6,6,100.0,4,17,21,13,5,5,4,11,4
1339,WAS,WAS @ ORL,11/17/2019,,L,24,52,20,48,41.7,5,18,27.8,7,9,77.8,4,17,21,12,6,4,2,8,-9
1340,BOS,BOS @ SAC,11/17/2019,,L,24,46,16,39,41.0,5,17,29.4,9,11,81.8,7,18,25,13,12,4,2,7,-4
1341,LAL,LAL vs. ATL,11/17/2019,,W,24,69,28,49,57.1,7,15,46.7,6,7,85.7,6,21,27,15,7,6,10,9,28
1342,GSW,GSW @ NOP,11/17/2019,,L,24,49,17,43,39.5,4,13,30.8,11,15,73.3,5,18,23,10,7,4,3,8,-6
1343,MEM,MEM vs. DEN,11/17/2019,,L,24,49,17,44,38.6,5,13,38.5,10,12,83.3,5,17,22,9,9,3,2,9,-23
1344,ATL,ATL @ LAL,11/17/2019,,L,24,41,15,43,34.9,3,14,21.4,8,10,80.0,3,14,17,7,12,5,1,9,-28
1345,DEN,DEN @ MEM,11/17/2019,,W,24,72,28,50,56.0,8,14,57.1,8,12,66.7,4,21,25,19,5,8,7,11,23
1346,TOR,TOR @ DAL,11/16/2019,,L,24,60,20,43,46.5,11,22,50.0,9,12,75.0,5,17,22,11,9,3,2,11,7
1347,CHI,CHI vs. BKN,11/16/2019,,L,24,56,15,45,33.3,4,18,22.2,22,24,91.7,11,23,34,7,12,5,1,10,6
1348,NYK,NYK vs. CHA,11/16/2019,,L,24,55,21,47,44.7,3,11,27.3,10,14,71.4,8,21,29,10,5,2,1,11,8
1349,MIA,MIA vs. NOP,11/16/2019,,W,24,54,21,45,46.7,3,13,23.1,9,9,100.0,6,18,24,13,7,4,2,1,5
1350,POR,POR @ SAS,11/16/2019,,W,24,66,25,42,59.5,11,24,45.8,5,6,83.3,2,18,20,16,6,0,2,10,8
1351,SAS,SAS vs. POR,11/16/2019,,L,24,58,20,43,46.5,3,10,30.0,15,18,83.3,4,14,18,14,4,3,1,4,-8
1352,IND,IND vs. MIL,11/16/2019,,L,24,36,14,46,30.4,5,15,33.3,3,4,75.0,5,22,27,9,12,4,6,7,-13
1353,DAL,DAL vs. TOR,11/16/2019,,W,24,53,19,48,39.6,5,23,21.7,10,15,66.7,7,17,24,11,7,4,0,8,-7
1354,ATL,ATL @ LAC,11/16/2019,,L,24,62,22,49,44.9,4,15,26.7,14,18,77.8,6,16,22,16,9,7,5,10,-12
1355,MIL,MIL @ IND,11/16/2019,,W,24,49,22,51,43.1,4,19,21.1,1,3,33.3,3,23,26,10,7,5,5,6,13
1356,LAC,LAC vs. ATL,11/16/2019,,W,24,74,26,51,51.0,6,15,40.0,16,16,100.0,7,21,28,14,10,5,5,14,12
1357,BKN,BKN @ CHI,11/16/2019,,W,24,50,19,48,39.6,5,24,20.8,7,7,100.0,1,16,17,15,8,7,3,17,-6
1358,MIN,MIN vs. HOU,11/16/2019,,L,24,62,23,47,48.9,6,19,31.6,10,13,76.9,9,16,25,15,8,4,3,10,-2
1359,CHA,CHA @ NYK,11/16/2019,,W,24,47,16,46,34.8,8,25,32.0,7,10,70.0,6,17,23,10,5,1,3,11,-8
1360,HOU,HOU @ MIN,11/16/2019,,W,24,64,22,49,44.9,10,23,43.5,10,12,83.3,10,11,21,9,8,4,0,9,2
1361,NOP,NOP @ MIA,11/16/2019,,L,24,49,21,45,46.7,6,18,33.3,1,2,50.0,5,16,21,12,8,5,0,8,-5
1362,CHA,CHA vs. DET,11/15/2019,,W,24,51,20,47,42.6,3,14,21.4,8,13,61.5,3,14,17,10,5,5,0,8,-14
1363,MEM,MEM vs. UTA,11/15/2019,,W,24,53,22,52,42.3,7,21,33.3,2,2,100.0,6,20,26,11,6,4,3,6,5
1364,GSW,GSW vs. BOS,11/15/2019,,L,24,51,21,44,47.7,4,16,25.0,5,7,71.4,2,22,24,14,7,3,1,9,-1
1365,UTA,UTA @ MEM,11/15/2019,,L,24,48,21,48,43.8,5,18,27.8,1,2,50.0,4,20,24,11,9,2,3,6,-5
1366,PHI,PHI @ OKC,11/15/2019,,L,24,49,20,41,48.8,7,16,43.8,2,6,33.3,7,16,23,10,9,4,0,14,-5
1367,BOS,BOS @ GSW,11/15/2019,,W,24,52,17,45,37.8,5,17,29.4,13,14,92.9,4,22,26,11,5,6,4,7,1
1368,DET,DET @ CHA,11/15/2019,,L,24,65,24,44,54.5,9,18,50.0,8,8,100.0,4,22,26,15,9,2,2,11,14
1369,IND,IND @ HOU,11/15/2019,,L,24,49,18,45,40.0,5,19,26.3,8,11,72.7,5,21,26,12,8,1,2,11,-5
1370,SAC,SAC @ LAL,11/15/2019,,L,24,50,19,43,44.2,10,20,50.0,2,2,100.0,6,18,24,14,7,4,0,11,1
1371,MIN,MIN vs. WAS,11/15/2019,,L,24,73,29,48,60.4,6,15,40.0,9,12,75.0,6,16,22,19,12,4,2,14,-3
1372,LAL,LAL vs. SAC,11/15/2019,,W,24,49,15,39,38.5,7,22,31.8,12,14,85.7,6,16,22,11,7,4,2,7,-1
1373,ORL,ORL vs. SAS,11/15/2019,,W,24,47,16,44,36.4,4,13,30.8,11,12,91.7,7,16,23,14,7,2,2,6,-9
1374,SAS,SAS @ ORL,11/15/2019,,L,24,56,24,45,53.3,6,14,42.9,2,4,50.0,4,18,22,11,6,6,5,11,9
1375,HOU,HOU vs. IND,11/15/2019,,W,24,54,18,45,40.0,7,22,31.8,11,12,91.7,4,21,25,8,5,6,3,11,5
1376,WAS,WAS @ MIN,11/15/2019,,W,24,76,29,52,55.8,4,14,28.6,14,16,87.5,7,13,20,18,8,6,0,10,3
1377,OKC,OKC vs. PHI,11/15/2019,,W,24,54,18,35,51.4,5,12,41.7,13,18,72.2,4,14,18,12,8,6,1,9,5
1378,CHI,CHI @ MIL,11/14/2019,,L,24,66,24,51,47.1,11,24,45.8,7,8,87.5,5,19,24,15,8,6,1,12,1
1379,CLE,CLE vs. MIA,11/14/2019,,L,24,44,15,46,32.6,1,14,7.1,13,15,86.7,8,13,21,7,9,6,0,9,-24
1380,NOP,NOP vs. LAC,11/14/2019,,W,24,72,27,51,52.9,11,21,52.4,7,11,63.6,8,19,27,13,6,4,3,12,13
1381,MIA,MIA @ CLE,11/14/2019,,W,24,68,26,41,63.4,9,17,52.9,7,7,100.0,2,22,24,22,8,3,4,14,24
1382,ATL,ATL @ PHX,11/14/2019,,L,24,61,21,45,46.7,4,14,28.6,15,19,78.9,9,19,28,13,13,8,3,14,-6
1383,BKN,BKN @ DEN,11/14/2019,,L,24,61,25,47,53.2,8,21,38.1,3,6,50.0,2,28,30,16,3,0,1,5,12
1384,PHX,PHX vs. ATL,11/14/2019,,W,24,67,23,45,51.1,10,22,45.5,11,13,84.6,1,16,17,18,9,2,1,13,6
1385,LAC,LAC @ NOP,11/14/2019,,L,24,59,21,43,48.8,6,14,42.9,11,15,73.3,3,16,19,14,7,3,2,11,-13
1386,DEN,DEN vs. BKN,11/14/2019,,W,24,49,20,52,38.5,6,18,33.3,3,5,60.0,4,20,24,15,0,3,1,5,-12
